# Codeium-Parse Reference Coverage Inventory
#
# Tracks codeium-parse query files and golden output parity for extractor enhancement (P7).
# Format: language\ttab\tkind\tstatus\tcrystal_components\tnotes
#
# Status values: ported, partial, missing, intentional_divergence, not_applicable

# ==============================================================================
# Query Files (per language, per query .scm file)
# ==============================================================================

bash	bash_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/bash_extractor.cr	function definitions
javascript	javascript_tags.scm	definition.constructor	ported	src/chiasmus/discovery/extractors/javascript_extractor.cr	via predicate_queries with #eq? filter
javascript	javascript_tags.scm	reference.call	ported	src/chiasmus/discovery/extractors/javascript_extractor.cr	via predicate_queries
javascript	javascript_tags.scm	reference.class	ported	src/chiasmus/discovery/extractors/javascript_extractor.cr	new_expression via predicate_queries
javascript	javascript_imports.scm	definition.import	ported	src/chiasmus/discovery/extractors/javascript_extractor.cr	import_statement via predicate_queries
javascript	javascript_class_fields.scm	class_fields	ported	src/chiasmus/discovery/extractors/javascript_extractor.cr	field_definition property capture
javascript	javascript_constructors.scm	definition.constructor	ported	src/chiasmus/discovery/extractors/javascript_extractor.cr	merged into tags query
javascript	javascript_functions.scm	definition.function	ported	src/chiasmus/discovery/extractors/javascript_extractor.cr	merged into tags query
jsx	jsx_tags.scm	—	not_applicable	—	empty query file
kotlin	kotlin_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/kotlin_extractor.cr	function_declaration
kotlin	kotlin_tags.scm	definition.constructor	ported	src/chiasmus/discovery/extractors/kotlin_extractor.cr	secondary_constructor via predicate_queries
kotlin	kotlin_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/kotlin_extractor.cr	class_declaration
markdown	markdown_injections.scm	injection	intentional_divergence	—	injection-only
perl	perl_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/perl_extractor.cr	class_statement
perl	perl_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/perl_extractor.cr	subroutine + method_declaration
perl	perl_tags.scm	definition.import	ported	src/chiasmus/discovery/extractors/perl_extractor.cr	use_statement via predicate_queries
php	php_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/php_extractor.cr	function_definition
php	php_tags.scm	definition.method	ported	src/chiasmus/discovery/extractors/php_extractor.cr	method_declaration
php	php_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/php_extractor.cr	class_declaration
php	php_tags.scm	definition.interface	ported	src/chiasmus/discovery/extractors/php_extractor.cr	interface_declaration
php	php_tags.scm	definition.namespace	ported	src/chiasmus/discovery/extractors/php_extractor.cr	namespace_definition via predicate_queries
protobuf	protobuf_tags.scm	definition.package	ported	src/chiasmus/discovery/extractors/protobuf_extractor.cr	package via predicate_queries
protobuf	protobuf_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/protobuf_extractor.cr	message/enum/service
protobuf	protobuf_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/protobuf_extractor.cr	rpc
protobuf	protobuf_class_fields.scm	class_fields	ported	src/chiasmus/discovery/extractors/protobuf_extractor.cr	message_body/enum_body field captures
python	python_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/python_extractor.cr	already in base queries
python	python_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/python_extractor.cr	split into function/method
python	python_tags.scm	definition.method	ported	src/chiasmus/discovery/extractors/python_extractor.cr	derived via inside_class?
python	python_tags.scm	definition.constructor	ported	src/chiasmus/discovery/extractors/python_extractor.cr	__init__ via predicate_queries
python	python_tags.scm	reference.call	ported	src/chiasmus/discovery/extractors/python_extractor.cr	via predicate_queries
python	python_imports.scm	definition.import	ported	src/chiasmus/discovery/extractors/python_extractor.cr	import statements via predicate_queries
python	python_class_fields.scm	class_fields	ported	src/chiasmus/discovery/extractors/python_extractor.cr	assignment left: identifier in class body
python	python_constructors.scm	definition.constructor	ported	src/chiasmus/discovery/extractors/python_extractor.cr	merged into tags query
ruby	ruby_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/ruby_extractor.cr	already in base queries
ruby	ruby_tags.scm	definition.module	ported	src/chiasmus/discovery/extractors/ruby_extractor.cr	module via predicate_queries
ruby	ruby_tags.scm	definition.method	ported	src/chiasmus/discovery/extractors/ruby_extractor.cr	already in base queries
ruby	ruby_tags.scm	definition.import	ported	src/chiasmus/discovery/extractors/ruby_extractor.cr	require/require_relative via predicate_queries
ruby	ruby_tags.scm	reference.call	ported	src/chiasmus/discovery/extractors/ruby_extractor.cr	via predicate_queries
ruby	ruby_tags.scm	reference.call_sel	ported	src/chiasmus/discovery/extractors/ruby_extractor.cr	receiver.method via predicate_queries
typescript	typescript_tags.scm	definition.class	ported	src/chiasmus/discovery/extractors/typescript_extractor.cr	already in base queries
typescript	typescript_tags.scm	definition.interface	ported	src/chiasmus/discovery/extractors/typescript_extractor.cr	already in base queries
typescript	typescript_tags.scm	definition.type	ported	src/chiasmus/discovery/extractors/typescript_extractor.cr	type_alias_declaration in base
typescript	typescript_tags.scm	definition.function	ported	src/chiasmus/discovery/extractors/typescript_extractor.cr	already in base queries
typescript	typescript_tags.scm	definition.method	ported	src/chiasmus/discovery/extractors/typescript_extractor.cr	already in base queries
typescript	typescript_tags.scm	definition.module	ported	src/chiasmus/discovery/extractors/typescript_extractor.cr	internal_module via predicate_queries
typescript	typescript_tags.scm	definition.namespace	ported	src/chiasmus/discovery/extractors/typescript_extractor.cr	module declaration via predicate_queries
typescript	typescript_tags.scm	definition.constructor	ported	src/chiasmus/discovery/extractors/typescript_extractor.cr	via predicate_queries
typescript	typescript_imports.scm	definition.import	ported	src/chiasmus/discovery/extractors/typescript_extractor.cr	import_statement via predicate_queries
typescript	typescript_class_fields.scm	class_fields	ported	src/chiasmus/discovery/extractors/typescript_extractor.cr	public_field_definition + property_signature
typescript	typescript_constructors.scm	definition.constructor	ported	src/chiasmus/discovery/extractors/typescript_extractor.cr	merged into tags query
vue	vue_injections.scm	injection	intentional_divergence	—	injection-only

# ==============================================================================
# Languages with no codeium-parse queries (Crystal-native additions)
# ==============================================================================

crystal	crystal_extractor	definition.import	ported	src/chiasmus/discovery/extractors/crystal_extractor.cr	require via predicate_queries
crystal	crystal_extractor	definition.module	ported	src/chiasmus/discovery/extractors/crystal_extractor.cr	include/extend via predicate_queries
crystal	crystal_extractor	reference.call	ported	src/chiasmus/discovery/extractors/crystal_extractor.cr	bare call via predicate_queries
crystal	crystal_extractor	reference.call_sel	ported	src/chiasmus/discovery/extractors/crystal_extractor.cr	dot call via predicate_queries
crystal	crystal_extractor	reference.class	ported	src/chiasmus/discovery/extractors/crystal_extractor.cr	Foo.new via predicate_queries
crystal	crystal_extractor	reference.call_op	ported	src/chiasmus/discovery/extractors/crystal_extractor.cr	operator calls via predicate_queries
crystal	crystal_extractor	reference.call_imp	ported	src/chiasmus/discovery/extractors/crystal_extractor.cr	&.method via predicate_queries
crystal	crystal_extractor	reference.call_idx	ported	src/chiasmus/discovery/extractors/crystal_extractor.cr	obj[key] via predicate_queries

# ==============================================================================
# Summary
# ==============================================================================
# Total tracked kinds across all languages: 76
# ported: 72
# intentional_divergence: 3 (html, markdown, vue — injection-only)
# not_applicable: 1 (jsx — empty query file)
# missing: 0
#
# Golden output parity: 15/15 languages with extractors have golden specs
# Grammar submodules: 19 vendored and compiled
# Extractors: 16 total (10 original + 9 new - 3 without codeium-parse queries)
